HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-269.4256255898,-269.4256255898,-269.4256255899,-271.1261264960,-271.1261264959,-271.1261264959
-273.7853716906,-273.7853716906,-273.7853716904,-275.7252641379,-275.7252641380,-275.7252641379
-269.3918220399,-269.3918220399,-269.3918220399,-271.1000191203,-271.1000191237,-271.1000191230
-194.5226465712,-194.5226465711,-194.5226465712,-195.8656152782,-195.8656152782,-195.8656152782
-309.5794471859,-309.5794471861,-309.5794471859,-311.6002302406,-311.6002302407,-311.6002302406
-231.5179272726,-231.5179272726,-231.5179272726,-232.9876008788,-232.9876008788,-232.9876008787
-348.6028664691,-348.6028664700,-348.6028664690,-350.8985655418,-350.8985655406,-350.8985655416
-269.4256126598,-269.4256126598,-269.4256126599,-271.1261128305,-271.1261128305,-271.1261128305
-192.4923458704,-192.4923458705,-192.4923458705,-193.6894046901,-193.6894046896,-193.6894046903
-383.2383669658,-383.2383669659,-383.2383669658,-385.5251466737,-385.5251466738,-385.5251466738
-156.6438945624,-156.6438945626,-156.6438945624,-157.7482484652,-157.7482484651,-157.7482484651
-305.1833792288,-305.1459871429,-305.1833792523,-306.8616323989,-306.8623263537,-306.8623263952
-156.6772380950,-156.6772380952,-156.6772380950,-157.7856064678,-157.7856064676,-157.7856064678
-309.5968118324,-309.5968118324,-309.5968118321,-311.6196655668,-311.6196655668,-311.6196655667
-344.2812862188,-344.2812862188,-344.2812862188,-346.3440189949,-346.3440189951,-346.3440189949
-117.5294742206,-117.5294742205,-117.5294742206,-118.3136632077,-118.3136632076,-118.3136632074
-312.7895973704,-312.7895973705,-312.7895973704,-315.0007589950,-315.0007589948,-315.0007589950
-348.6346260004,-348.6346260003,-348.6346260004,-350.9350938378,-350.9350938377,-350.9350938377
-311.6384084206,-311.6384084206,-311.6384084206,-313.8123782664,-313.8123782665,-313.8123782664
-348.6307320612,-348.6307320613,-348.6307320612,-350.9322968322,-350.9322968322,-350.9322968321
-117.6407815700,-117.6407815699,-117.6407815700,-118.4718452033,-118.4718452033,-118.4718452032
-348.6462806934,-348.6462806935,-348.6462806934,-350.9467011300,-350.9467011299,-350.9467011299
-195.6859423376,-195.6859423376,-195.6859423376,-197.0683655380,-197.0683655380,-197.0683655379
-194.5521978316,-194.5521978317,-194.5521978316,-195.8985456590,-195.8985456590,-195.8985456590
-348.6367266178,-348.6367266177,-348.6367266178,-350.9364112411,-350.9364112411,-350.9364112410
-312.8224918238,-312.8224918238,-312.8224918237,-315.0392946945,-315.0392946946,-315.0392946946
-383.3163814893,-383.3163814893,-383.3163814893,-385.6586647456,-385.6586647447,-385.6586647455
-155.4775494192,-155.4775494192,-155.4775494191,-156.5483416530,-156.5483416530,-156.5483416530
-347.4164170646,-347.4164170645,-347.4164170641,-349.6519704214,-349.6519704376,-349.6519704214
-308.4533941474,-308.4533941475,-308.4533941474,-310.4348151017,-310.4348151018,-310.4348151018
-383.2438808568,-383.2438808569,-383.2438808567,-385.5819513542,-385.5819513530,-385.5819513541
-384.3699582239,-384.3699582244,-384.3699582244,-386.7666374483,-386.7666374483,-386.7666374481
-270.5722833946,-270.5722833946,-270.5722833946,-272.3198323224,-272.3198323224,-272.3198323223
-273.7594727537,-273.7594727536,-273.7594727534,-275.6958828748,-275.6958828746,-275.6958828745
-230.3896294303,-230.3896294302,-230.3896294304,-231.8129790695,-231.8129790696,-231.8129790694
-309.6156640396,-309.6156640398,-309.6156640398,-311.6262000188,-311.6262000189,-311.6262000188
-270.5772890237,-270.5772890238,-270.5772890237,-272.3271592707,-272.3271592708,-272.3271592708
-270.5744832481,-270.5744832482,-270.5744832481,-272.3198944661,-272.3198944662,-272.3198944662
-273.7803713974,-273.7803713974,-273.7803713972,-275.7215092204,-275.7215092205,-275.7215092204
-231.5416066464,-231.5416066462,-231.5416066464,-232.9989995832,-232.9989995832,-232.9989995829
-312.8215163366,-312.8215163365,-312.8215163366,-315.0414408501,-315.0414408502,-315.0414408501
-344.2888613648,-344.2888613648,-344.2888613648,-346.3500498257,-346.3500498259,-346.3500498258
-309.5580694206,-309.5580694207,-309.5580694206,-311.5777732382,-311.5777732382,-311.5777732382
-348.6043520472,-348.6043520587,-348.6043520470,-350.9006728674,-350.9006728657,-350.9006728673
-230.3709854401,-230.3709854401,-230.3709854401,-231.7957911082,-231.7957911081,-231.7957911081
-348.6458887554,-348.6458887555,-348.6458887555,-350.9500427443,-350.9500427443,-350.9500427444
-344.0547536275,-344.0547536275,-344.0547536274,-346.1353116249,-346.1353116251,-346.1353116250
-348.6311725291,-348.6311725292,-348.6311725291,-350.9338424886,-350.9338424885,-350.9338424884
-230.3867165092,-230.3867165105,-230.3867165083,-231.8118119762,-231.8118119758,-231.8118119760
-305.2636277328,-305.2636277327,-305.2636277327,-307.0467803285,-307.0467803259,-307.0467803283
-273.7894912116,-273.7894912115,-273.7894912117,-275.7313225476,-275.7313225476,-275.7313225476
-311.5693834392,-311.5693834393,-311.5693834392,-313.7164626906,-313.7215463269,-313.7215463269
-155.4864804050,-155.4864804051,-155.4864804050,-156.5518376036,-156.5518376036,-156.5518376035
-192.4805246778,-192.4805246783,-192.4805246778,-193.6675534484,-193.6675534474,-193.6675534484
-233.5584685587,-233.5584685587,-233.5584685587,-235.1793730971,-235.1793730972,-235.1793730966
-155.4766676583,-155.4766676584,-155.4766676584,-156.5477757268,-156.5477757269,-156.5477757268
-308.4612069394,-308.4612069395,-308.4612069394,-310.4389386683,-310.4389386683,-310.4389386682
-269.3765142968,-269.3765142969,-269.3765142968,-271.0824336973,-271.0824336973,-271.0824336971
-309.6173471388,-309.6173471394,-309.6173471393,-311.6275869384,-311.6275869383,-311.6275869383
-273.7860197739,-273.7860197739,-273.7860197739,-275.7288390303,-275.7288390303,-275.7288390303
-305.2337369646,-305.2337369646,-305.2337369644,-307.0212990439,-307.0212990434,-307.0212990439
-344.2891899883,-344.2891899882,-344.2891899883,-346.3510638767,-346.3510638768,-346.3510638767
-194.5190303168,-194.5190303168,-194.5190303168,-195.8557225508,-195.8557225505,-195.8557225508
-309.5604263450,-309.5604263450,-309.5604263447,-311.5835121073,-311.5835121073,-311.5835121073
-194.5180471172,-194.5180471172,-194.5180471170,-195.8595408619,-195.8595408619,-195.8595408618
-273.7876561099,-273.7876561098,-273.7876561099,-275.7307333830,-275.7307333830,-275.7307333830
-312.8195328363,-312.8195328365,-312.8195328364,-315.0366324917,-315.0366324917,-315.0366324917
-195.7144404123,-195.7144404124,-195.7144404123,-197.0997530636,-197.0997530636,-197.0997530636
-227.1689041717,-227.1689041717,-227.1689041716,-228.4100355029,-228.4100355029,-228.4100355026
-270.5627550666,-270.5627550665,-270.5627550663,-272.3079345801,-272.3079345799,-272.3079345800
-348.6350063792,-348.6350063792,-348.6350063792,-350.9350006139,-350.9350006138,-350.9350006138
-234.7498392863,-234.7498392864,-234.7498392863,-236.4126443716,-236.4126443716,-236.4126443716
-194.5521999732,-194.5521999733,-194.5521999733,-195.8985479760,-195.8985479760,-195.8985479759
-194.5521995758,-194.5521995759,-194.5521995758,-195.8985474929,-195.8985474929,-195.8985474928
-273.7806976346,-273.7806976346,-273.7806976344,-275.7211678954,-275.7211678954,-275.7211678954
-309.6096070864,-309.6096070866,-309.6096070865,-311.6344943846,-311.6344943846,-311.6344943846
-273.7854205208,-273.7854205210,-273.7854205208,-275.7251691434,-275.7251691434,-275.7251691434
-270.5591219881,-270.5591219881,-270.5591219879,-272.3044242780,-272.3044242779,-272.3044242779
-348.6464287840,-348.6491268702,-348.6491268700,-350.9387329683,-350.9387329684,-350.9387329683
-191.3530689969,-191.3530689969,-191.3530689969,-192.4996108719,-192.4996108718,-192.4996108718
-312.7430031124,-312.7430031126,-312.7430031125,-314.9616663578,-314.9616663562,-314.9616663578
-348.6162886367,-348.6162886367,-348.6162886367,-350.9133248321,-350.9133248321,-350.9133248320
-348.6388102129,-348.6388102128,-348.6388102126,-350.9381273425,-350.9381273425,-350.9381273424
