HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-230.7815464297,-230.7815464297,-230.7815464297,-232.2851805619,-232.2851805620,-232.2851805620
-348.9887151019,-348.9887151022,-348.9887151020,-351.3570843085,-351.3570843096,-351.3570843095
-302.2383872841,-302.2383872852,-302.2383872851,-303.9942427615,-303.9942427616,-303.9942427614
-232.7209326898,-232.7209326899,-232.7209326898,-234.3816073429,-234.3816073430,-234.3816073430
-193.7086253384,-193.7086253383,-193.7086253383,-195.0576413474,-195.0576413474,-195.0576413474
-233.8141513855,-233.8141513855,-233.8141513855,-235.5238280559,-235.5238280510,-235.5238280558
-233.9026906631,-233.9026906631,-233.9026906631,-235.6048504587,-235.6048504230,-235.6048504587
-191.6573858279,-191.6573858280,-191.6573858280,-192.8914097659,-192.8914097659,-192.8914097656
-230.7611927582,-230.7611927581,-230.7611927581,-232.2674113372,-232.2674113372,-232.2674113372
-344.6867742160,-344.6867742161,-344.6867742160,-346.8168543854,-346.8168543847,-346.8168543853
-349.0532886053,-349.0532886053,-349.0532886053,-351.4363196976,-351.4363196977,-351.4363196976
-383.6089997446,-383.6089997446,-383.6089997446,-386.0557195403,-386.0557195403,-386.0557195403
-269.6634843486,-269.6634843485,-269.6634843484,-271.4604596787,-271.4604596787,-271.4604596787
-194.9628513017,-194.9628513018,-194.9628513018,-196.3835279855,-196.3835279855,-196.3835279855
-270.9967949821,-270.9967949821,-270.9967949821,-272.8154192857,-272.8154192859,-272.8154192858
-419.4879759125,-419.4879759124,-419.4879759125,-422.0148376581,-422.0148376582,-422.0148376581
-380.3743149837,-380.3743149838,-380.3743149838,-382.6183675192,-382.6183675192,-382.6183675191
-191.7034156559,-191.7034156559,-191.7034156559,-192.9394355456,-192.9394355445,-192.9394355454
-305.7029542648,-305.7029542650,-305.7029542649,-307.5604554427,-307.5604554427,-307.5604554425
-348.8947410846,-348.8947410846,-348.8947410846,-351.2876078894,-351.2876078898,-351.2876078899
-233.8735249697,-233.8735249697,-233.8735249696,-235.5788500249,-235.5788500251,-235.5788500250
-349.0257922473,-349.0257922473,-349.0257922473,-351.4027719407,-351.4027719407,-351.4027719407
-190.4439587168,-190.4439587169,-190.4439587169,-191.6360257915,-191.6360257915,-191.6360257914
-194.8638105860,-194.8638105861,-194.8638105861,-196.2867130100,-196.2867130100,-196.2867130101
-344.5550296718,-344.5550296716,-344.5550296716,-346.7451764594,-346.7451764593,-346.7451764594
-344.6621341201,-344.6621341201,-344.6621341201,-346.8162620781,-346.8162620767,-346.8162620781
-310.0616650587,-310.0616650588,-310.0616650587,-312.1639894845,-312.1639894845,-312.1639894844
-266.4969639027,-266.4969639027,-266.4969639027,-268.1143092681,-268.1143092681,-268.1143092680
-309.8706895852,-309.8706895852,-309.8706895851,-311.9821923579,-311.9821923579,-311.9821923579
-270.9693466914,-270.9693466913,-270.9693466914,-272.7909700352,-272.7909700344,-272.7909700351
-194.8408004738,-194.8408004738,-194.8408004737,-196.2840461520,-196.2840461520,-196.2840461520
-305.6696674849,-305.6696674849,-305.6696674850,-307.5365748976,-307.5365748973,-307.5365748973
-308.8201141407,-308.8201141407,-308.8201141407,-310.8929218649,-310.8929218650,-310.8929218649
-268.6166118449,-268.6166118449,-268.6166118449,-270.3287499888,-270.3287499874,-270.3287499888
-231.8860979007,-231.8860979008,-231.8860979007,-233.4203209219,-233.4203209218,-233.4203209218
-270.9037232158,-270.9037232157,-270.9037232158,-272.7340864044,-272.7340864044,-272.7340864044
-305.7137676688,-305.7137676691,-305.7137676691,-307.5685465845,-307.5685465847,-307.5685465846
-344.6832213003,-344.6832213002,-344.6832213002,-346.8241068209,-346.8241068198,-346.8241068206
-341.4089292812,-341.4089292811,-341.4089292812,-343.3620714042,-343.3620714019,-343.3620714043
-348.8950490792,-348.8950490791,-348.8950490792,-351.2840558091,-351.2840558077,-351.2840558091
-230.7655246119,-230.7655246120,-230.7655246119,-232.2743062657,-232.2743062657,-232.2743062654
-308.8117348973,-308.8117348973,-308.8117348973,-310.8614190479,-310.8614190478,-310.8614190476
-344.6422104601,-344.6422104601,-344.6422104602,-346.7800674670,-346.7800674670,-346.7800674670
-233.9006976376,-233.9006976376,-233.9006976376,-235.6090916172,-235.6090916184,-235.6090916181
-230.7890346595,-230.7890346595,-230.7890346595,-232.2984723826,-232.2984723827,-232.2984723824
-194.8463309906,-194.8463309906,-194.8463309906,-196.2809583269,-196.2809583269,-196.2809583269
-419.4140840623,-419.4140840623,-419.4140840622,-421.9487233114,-421.9487233115,-421.9487233114
-344.6210512174,-344.6210512174,-344.6210512173,-346.7781462813,-346.7781462818,-346.7781462818
-269.6785292263,-269.6785292264,-269.6785292264,-271.4973622813,-271.4973622809,-271.4973622813
-348.9088337226,-348.9088337226,-348.9088337226,-351.2974061509,-351.2974061500,-351.2974061509
-155.8879256573,-155.8879256573,-155.8879256573,-157.0343164036,-157.0343164036,-157.0343164035
-344.7830327447,-344.7830327447,-344.7830327446,-346.9071238624,-346.9071238623,-346.9071238622
-269.8816945830,-269.8816945829,-269.8816945830,-271.6526051625,-271.6526051625,-271.6526051624
-268.3494918689,-268.3494918690,-268.3494918689,-270.1105727309,-270.1105727308,-270.1105727309
-272.9664353666,-272.9664353665,-272.9664353666,-274.9259753770,-274.9259753770,-274.9259753770
-154.6961564804,-154.6961564804,-154.6961564804,-155.7987336445,-155.7987336442,-155.7987336444
-193.6457072224,-193.6457072223,-193.6457072223,-195.0359313073,-195.0359313073,-195.0359313072
-266.6823726917,-266.6823726917,-266.6823726917,-268.2581055516,-268.2581055516,-268.2581055515
-269.6779163418,-269.6779163419,-269.6779163418,-271.4684515530,-271.4684515530,-271.4684515529
-311.8883360759,-311.8883360759,-311.8883360758,-314.1535242421,-314.1535242420,-314.1535242420
-383.8237704756,-383.8237704756,-383.8237704756,-386.2343210014,-386.2343210014,-386.2343210012
-230.7434857631,-230.7434857632,-230.7434857632,-232.2543437717,-232.2543437722,-232.2543437721
-272.8814833615,-272.8814833614,-272.8814833615,-274.8651617661,-274.8651617533,-274.8651617660
-233.8504172147,-233.8504172147,-233.8504172145,-235.5598133855,-235.5598133586,-235.5598133855
-383.7615132765,-383.7615132764,-383.7615132765,-386.1783202836,-386.1783202836,-386.1783202835
-349.0445296439,-349.0445296439,-349.0445296438,-351.4251068343,-351.4251068345,-351.4251068345
